True_Label,Predicted_Label,True_Label_Name,Predicted_Label_Name
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,2,Negative,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
2,2,Positive,Positive
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
0,0,Negative,Negative
2,2,Positive,Positive
0,0,Negative,Negative
0,0,Negative,Negative
