text,sentiment,label,predicted_label_stacking
diklat implementasi kurikulum versi revisi kurikulum,positive,2,2
siap edar buku pandu bagi didik sd smp sma terap ajar kurikulum kurikulum,positive,2,2
anak sd sekarang udah di suruh buat main map kurikulum,positive,2,2
dinas didik sejatim sepakat lanjut kurikulum,positive,2,2
kurikulum henti dan kembali ke kurikulum kabar baik buat didik nasional cetus knya kudu minta tanggung jawab,positive,2,2
tingkat yang milik dorong yang henti naik yang masih rendah kurikulum,positive,2,2
peran guru bagai fasilitator atau motivator dpt terap dengan kurikulum apa bukan monopoli kurikulum,positive,2,2
wamendikbud bidang didik musliar kasim wapres boediono ingin agar implementasi kurikulum dapat jalan dengan lancar,positive,2,2
siapa pun yang jadi pimpin negara ini nanti harus yang baik dan tulus untuk negara ini kurikulum,positive,2,2
berat apa masalah yang anda hadap percaya pasti ada jalan keluar kurikulum,positive,2,2
kurikulum tingkat kerja didik lalu kurikulum guru dan lama tinggal di sekolah,positive,2,2
kurikulumberbagai kritik serang trhdp kurikulum nyata tak surut pmrntah bukti kriklm akan ttap dilksnkn juli,positive,2,2
kurikulum tingkat puas thdp plksanaan kurikulum lbh tinggi dri pd thdp kurikulum yang lbh kenal dgn kbk bgmna dengan,positive,2,2
kurikulum kreativitas guru tuntut untuk kaya buku dgn giat lain yang sesuai dan relevan mana buku ini ajar,positive,2,2
punya anak yang dapet kurikulum di sekolah ortunya harus kreatif dan siap todong buat tugas waktu,positive,2,2
lanjut kurikulum tidak usah d rubah lagi,positive,2,2
kurikulum rt kemdikbud kurikulum tidak akan gontaganti sumber layar tve,positive,2,2
kurikulum peran guru sangat penting untuk sesuai daya serap siswa dgn sedia giat yang ada pada buku,positive,2,2
kurikulum tantang kembang kurikulum liput kompetensi dan tantang masa depan kembang tahu dan pedagogi,positive,2,2
kurikulum bukan di stop total tapi hanya untuk sekolah yang sudah mampu,positive,2,2
kurikulum pd dasar baik selain dinamis kreatif juga minim spambot texting,positive,2,2
peran orang tua di keluarga lebih penting dan peran guru di sekolah dukung sudah saat tidak terlalu manja anak kurikulum,positive,2,2
kurikulum hanya sistem kontrol didik yang harus evaluasi jd lebih baik please lahir guru yang hebat untuk anak yang hebat,positive,2,2
akhir kata kembali lgi kalau mau nangguhkan kurtilas di akhir taun ajar baru saja kurikulum kurtilas,positive,2,2
kurikulum henti sementara beberapa sekolahgunakan saja international baccalaureate ib dan segera bangun sekolah untuk guru,positive,2,2
satu lagi pd tiap buku dalam materi akan ada kolom komunikasi guru siswa dan orang tua murid kurikulum,positive,2,2
bagai solusi perintah ambil langkah hilang takut siswa sebut dgn cara kurikulum,positive,2,2
untung saya msh pki kurikulum kesi banget adik kelas saya yang udh kurikulum d sabarr ya adik adik,positive,2,2
sekarang rasa adik kelas lebih pintar dari kelas xii efek kurikulum,positive,2,2
kami sudah tahun lebih jalan kurikulum tapi masih hidup dengan sehat dan bahagia sampai detik ini kurikulum,positive,2,2
kurikulum kembang kurikulum sampai pada buku teks dan buku pedoman guru,positive,2,2
ktsp kembang kurikulum sampai pada kompetensi dasar kurikulum,positive,2,2
kurikulum henti lebih baik aktif lagi pmp didik moral pancasila butir pancasila praktek pel agama tambah,positive,2,2
kurikulum bas kompetensi kbk cipta tamat yang kompeten dan cerdas dalam bangun identitas budaya bangsa kurikulum,positive,2,2
naskah akademik yang evaluasi didik buat saat kurikulum sudah djlnkn skrg nasdik ini jd benar k krg lucu apa lagi sih,positive,2,2
buka baut mesin saja kudu dengan cara yang santun dasar jujur dasar ingin luhur kurikulum,positive,2,2
ini adalah salah satu cara edukasi pajak samping masuk materi pajak ke kurikulum didik demikian pak,positive,2,2
didik yang baik perlu guru dan iklim sekolah yang baik kurikulum,positive,2,2
bentuk sumber daya manusia yang siap saing kurikulum k,positive,2,2
harus kurikulum itu kaji ulang sejarah pki yang lebih dari tiga puluh tahun manipulasi demi siswa hebat bung,positive,2,2
dukung terus baik kualitas ajar dari guru untuk hasil dik yang kualitas untuk masa depan bangsa yang cemerlang kurikulum,positive,2,2
terima kasih menteri didik dan budaya mendikbud pak anies baswedan yang telah henti laksa kurikulum,positive,2,2
semangat buat yang sekolah udh ngejalanin kurikulum lama semester karena juang msh lanjut semangat kurikulum,positive,2,2
lewat review kurikulum ini proses ajar harap bisa jd senang hasil para ajar,positive,2,2
kurikulum ajar siswa untuk cipta masalah dan selesai masalah sendiri guru cuma ngelurusin doang,positive,2,2
tahun depan smp di solo terap kurikulum,positive,2,2
wamendikbud harap jokowi tak hapus kurikulum kurikulum ini didik anakanak untuk hadap,positive,2,2
dan sekarang kurikulum ganti ktsp lagi harus nya ada ubah lebih baik tapi harus rubah gaya ajar anakanak sekolah lagi,positive,2,2
kalau tiap guru harus kuasa minimal wordexcel dan guna projektor itu memang tuntut harus meski tanpa kurikulum,positive,2,2
adalah lebih penting sedia guru yang kompeten cukup banding kurikulum yang di agung kan bisa penuh butuh didik anak,positive,2,2
kalau alas cuma belum siap lalu kapan siap indonesia butuh kurikulum didik yang revolusioner ya itu kurikulum,positive,2,2
ilmu itu indah kurikulum,positive,2,2
sekarang tidak ada yang santa semua giat kerja tugas karena banyak tugas kurikulum,positive,2,2
kualitas didik sangat gantung pada ilmu guru metodekurikulum bakatketekunan murid sendiri dan juga sempat,positive,2,2
tepat ramadhan h kemarin telah latih guru sekolah sasar kurikulum latih karena ada sempurna kurikulum nya,positive,2,2
tiap kabupaten kota usul kepada kemendikbud sekolah yang akan laksana terap kurikulum,positive,2,2
standar nilai kurikulum guna nilai otentik yaitu ukur semua kompetensi sikap terampil tahu,positive,2,2
boleh motivasi bisa mulai dari keluarga kurikulum tempat ibadah tempat kerja sampai teladan pimpin masing,positive,2,2
smk di kabupaten bekas laksana kurikulum tahun kurikulum,positive,2,2
karena mas anies kesiap siswa dan guru utama dalam laksana kurikulum shg tidak timbul resah sekolah,positive,2,2
mau tidak mau laksana proses ajar harus tetap jalan karena tahun ajar telah mulai apa kondisi kurikulum,positive,2,2
sehingga tahun ajar mulai kurikulum yang telah revisi dapat laksana di sekolah sasar sebut,positive,2,2
baru thn ini saya sklh tidak ada yang nmanya uts ya itu lebih kurikulum tapi lbih bnyak kurang drpd lebih kurikulum,positive,2,2
diklat guru sasar smkn plered kurikulum,positive,2,2
revisi kurikulum jamin mudah guru kurikulum,positive,2,2
cukup antusias juga sih dengar kabar kalau sekolah lain sudah mulai kembali guna kurikulum,positive,2,2
perintah kab badung dukung penuh implementasi kurikulum peduli dgn didik dgn anggarkn lbih dari apbd,positive,2,2
dialog didik ttg kurikulum hadir kepala puskurbuk tjipto sumadi anggota kom x wayan koster wabup badung i ketut suiasa,positive,2,2
kurikulum sederhana kurikulum didik,positive,2,2
justru kurikulum yang sangat kuat dalam bina karaktermental tangguh bacadibatalkan oleh hardiknas,positive,2,2
moga saya kuat untuk jalan kurikulum ini ya alloh moga engkau ringan beban dalam diri kami ini aamiin,positive,2,2
dalam kurikulum sekarang tidak hanya ada budi wati dan iwan musliar kasim wamendikbud,positive,2,2
sandang disabilitas pun akan jamin dapat laku sama dengan masyarakat pada umum kabinetjokowi kurikulum,positive,2,2
maksud sekolah di indonesia yang guna kurikulum nasional plus dan kurikulum internasional yang negeri pun ada yang terap juga,positive,2,2
kudus sma kurikulum sma bae segera terap kurikulum,positive,2,2
kudus kurikulum sma derajat harap pakai kurikulum,positive,2,2
kudus kurikulum sma guru sma kudus sudah tak gagap kurikulum,positive,2,2
kurikulum laku untuk semua sekolah kurikulum,positive,2,2
dengan semua inikehidupan saya jadi lebih warna terimakasih kurikulum,positive,2,2
sd kratonan salah satu sekolahdasar di kota solo yang masih guna kurikulum mantap,positive,2,2
amunisi jam pertama besok matematika wajib dan matematika minat kurikulum,positive,2,2
nilai rapor siswa sekarang tdak hanya gantung pda mampu siswa tapi jga mampu guru wali dlam guna excel kurikulum,positive,2,2
kompetensi harus tingkat agar jadi guru yang profesional,positive,2,2
